network,regime,direction,epsilon,crossing_fraction,linear_shift_norm,exact_shift_norm,remainder_norm,remainder_over_linear,bound_norm,bound_ratio_actual
0,generic,actual_defect,0.0001,9.5367431640625e-07,1.8554710807615362e-05,1.855470987997838e-05,8.344985835484132e-11,4.497502505972295e-06,1.0243118064560214e-10,1.227457813170268
0,generic,actual_defect,0.00025,9.5367431640625e-07,4.63867770190384e-05,4.638677438353178e-05,2.3709664684490743e-10,5.111298134543741e-06,7.616170787756999e-09,32.12264234482819
0,generic,actual_defect,0.0005,1.9073486328125e-06,9.27735540380768e-05,9.277339196368627e-05,1.4891050444059276e-09,1.6050964737157298e-05,1.812061685399953e-08,12.168796903934119
0,generic,actual_defect,0.001,4.76837158203125e-06,0.0001855471080761536,0.0001855471709369716,1.2002607403383647e-08,6.468765548454385e-05,6.971443497739678e-08,5.808274205298394
0,generic,actual_defect,0.002,6.67572021484375e-06,0.0003710942161523072,0.00037109665235396307,3.900466105748416e-08,0.00010510716513424608,1.9574804805188937e-07,5.018580927120491
0,generic,isotropic,0.0001,9.5367431640625e-07,1.5688635671059565e-05,1.5688626528931068e-05,2.5757057413469184e-10,1.6417652849815734e-05,3.7089366957703873e-10,1.4399691068090978
0,generic,isotropic,0.00025,9.5367431640625e-07,3.922158917764891e-05,3.922156531201987e-05,6.723984204858905e-10,1.7143579201759323e-05,4.999165069669544e-09,7.434825718443884
0,generic,isotropic,0.0005,9.5367431640625e-07,7.844317835529782e-05,7.84431299504918e-05,1.36377814174737e-09,1.7385554363571558e-05,1.3797044095536027e-08,10.116780488839826
0,generic,isotropic,0.001,4.76837158203125e-06,0.00015688635671059565,0.00015688738844050264,7.494712420842967e-09,4.7771600908983285e-05,3.439600240845108e-08,4.589369208189364
0,generic,isotropic,0.002,8.58306884765625e-06,0.0003137727134211913,0.0003137774179161105,2.7596796382440617e-08,8.795154964732765e-05,7.428895520288113e-08,2.691941273667184
0,generic,kink_focused,0.0001,0.0,4.963378906250002e-05,4.963378906249971e-05,3.1187310443493886e-19,6.28348369781362e-15,0.0,0.0
0,generic,kink_focused,0.00025,0.0,0.00012408447265625005,0.0001240844726562504,3.5327692570071886e-19,2.847067954097676e-15,0.0,0.0
0,generic,kink_focused,0.0005,0.0,0.0002481689453125001,0.00024816894531248275,1.734730888153077e-17,6.990120725897689e-14,1.2207031250000006e-07,7036844350.535843
0,generic,kink_focused,0.001,0.0,0.0004963378906250002,0.0004963378906249638,3.6429334050905696e-17,7.339623820585818e-14,2.441406250000001e-07,6701759210.279343
0,generic,kink_focused,0.002,3.814697265625e-06,0.0009926757812500004,0.0009931917676351675,5.159863851670991e-07,0.000519793466218504,3.906250000000003e-06,7.570451686888961
0,kink_enriched,actual_defect,0.0001,2.384185791015625e-05,1.8562578495478808e-05,1.855983677558588e-05,8.644398258084673e-09,0.0004656895193838585,3.8292662837404726e-08,4.429766155393351
0,kink_enriched,actual_defect,0.00025,7.2479248046875e-05,4.640644623869702e-05,4.6390049628518134e-05,6.482547384096453e-08,0.00139690666049986,2.876645000414392e-07,4.437522520038383
0,kink_enriched,actual_defect,0.0005,0.00014781951904296875,9.281289247739404e-05,9.274536622130839e-05,2.6723575260324485e-07,0.002879295596442424,1.0748532460979622e-06,4.0221161862790025
0,kink_enriched,actual_defect,0.001,0.00029277801513671875,0.00018562578495478807,0.00018536545744093574,1.012736744642699e-06,0.005455797775558853,3.98194567625239e-06,3.9318664967145533
0,kink_enriched,actual_defect,0.002,0.0005865097045898438,0.00037125156990957614,0.00037006555565626876,4.17425724482029e-06,0.011243743011880037,1.5386713610969088e-05,3.6860961623920034
0,kink_enriched,isotropic,0.0001,3.0517578125e-05,1.566983600992855e-05,1.5671566383938793e-05,9.400617518746511e-09,0.0005999180535641978,3.348788472554856e-08,3.5623069078991603
0,kink_enriched,isotropic,0.00025,7.62939453125e-05,3.9174590024821374e-05,3.917945710601408e-05,5.3253960570561336e-08,0.001359400584328238,1.966394091038516e-07,3.692484220836589
