experiment,seed,applied,block_variance_ratio,fold_correction_rel_sd,pilot_correction_cosine,pilot_correction_rel_diff,baseline_mse,candidate_mse,candidate_over_baseline,raw_gain,adjusted_gain,noise_corrected_gain,half1_ratio,half2_ratio
postpilot_gate12,1313612590,False,1.0008569875387272,0.3351024888787122,0.4683976118148414,1.2298208661403462,1.252565863935472e-07,1.252565863935472e-07,1.0,1.0,0.9852009547921118,1.0,1.0,1.0
postpilot_gate12,1245061180,True,0.996561611651933,0.46350218862809944,0.7962021840454141,0.8334394567335237,5.997930375245916e-07,4.80633715214501e-07,0.8013326016556085,1.2479212725576507,1.2294532292291847,1.2652101041033184,0.8328845027545285,0.7965430523454066
postpilot_gate12,1763129857,False,0.9983638735333592,1.5182121232068122,-0.6065681716847259,4.036531975942164,1.7820387439769602e-07,1.7820387439769602e-07,1.0,1.0,0.9852009547921118,1.0,1.0,1.0
postpilot_gate12,55683017,False,1.004552711638591,0.665642189155015,0.15584326880107258,1.8215661472950069,3.425612011579569e-07,3.425612011579569e-07,1.0,1.0,0.9852009547921118,1.0,1.0,1.0
postpilot_gate12,1123961422,True,0.9939740199634809,0.5027045518745368,-0.764965556753022,4.935417381734773,1.4253963692359062e-07,1.7806748723725588e-07,1.24924891826903,0.8004809813128424,0.7886346270823389,0.790724982329666,1.2454661785381742,1.222222486935395
postpilot_gate12,1534629201,False,0.9901538188511613,1.151096714463698,-0.731356837995354,4.811679649830267,9.554095806490792e-08,9.554095806490792e-08,1.0,1.0,0.9852009547921118,1.0,1.0,1.0
postpilot_gate12,667677273,False,1.0015735168144733,0.4756429376202382,0.43875934277922696,1.2551190916051254,1.478185836074529e-07,1.478185836074529e-07,1.0,1.0,0.9852009547921118,1.0,1.0,1.0
postpilot_gate12,1467303472,False,0.9983415096689381,1.8613992723491302,-0.3230639047997977,2.523134725408701,1.1586544645598039e-07,1.1586544645598039e-07,1.0,1.0,0.9852009547921118,1.0,1.0,1.0
postpilot_gate12,2107942419,False,1.0044904961989751,0.7075143287440411,0.26646741620247055,1.7211411110393398,1.4002052951628497e-07,1.4002052951628497e-07,1.0,1.0,0.9852009547921118,1.0,1.0,1.0
postpilot_gate12,570322926,False,1.006067513648362,0.5394452489400852,-0.9769237646699862,4.049340746219288,8.11587366444675e-07,8.11587366444675e-07,1.0,1.0,0.9852009547921118,1.0,1.0,1.0
postpilot_gate12,176687031,True,0.9822001350737485,0.18279491046050592,0.9722761323214328,0.25818879124318384,1.1809488309061102e-06,6.298908498444216e-07,0.5333769197782459,1.8748467789265328,1.8471008366873354,1.9639396358964747,0.5587586770647427,0.5500494882502921
postpilot_gate12,1853497945,True,0.9868496839923164,0.8495137455518396,-0.32933055101975134,2.803906981448107,1.2710770020887216e-07,1.2637662062051158e-07,0.9942483454018977,1.0057849275029744,0.9909002708914453,1.0065083561946158,1.0687637559900214,0.9501568514353028
safety_margin099_fresh12,1949022022,False,1.0014509968691299,0.523124329562848,-0.007410241745536759,2.0147968921393353,2.7750664853141965e-07,2.7750664853141965e-07,1.0,1.0,0.9852009547921118,1.0,1.0,1.0
safety_margin099_fresh12,2101413079,False,0.9984297633234884,0.544039372046177,0.4048634090222651,1.3046663671632788,2.4090384175452864e-07,2.4090384175452864e-07,1.0,1.0,0.9852009547921118,1.0,1.0,1.0
safety_margin099_fresh12,992148826,False,0.9926502655933329,0.20579401950149023,0.7327320190942458,1.2517012420325617,1.7482860771896658e-07,1.7482860771896658e-07,1.0,1.0,0.9852009547921118,1.0,1.0,1.0
safety_margin099_fresh12,2000207224,False,0.9954587220458164,0.6291545567531553,0.21288519279893994,1.667794864953023,7.820245591839144e-07,7.820245591839144e-07,1.0,1.0,0.9852009547921118,1.0,1.0,1.0
safety_margin099_fresh12,214560592,False,0.9975127406489571,0.5897598562959783,-0.9815196374487911,4.541888856521715,1.7755133663762867e-07,1.7755133663762867e-07,1.0,1.0,0.9852009547921118,1.0,1.0,1.0
safety_margin099_fresh12,1460182500,False,1.0006782386312225,0.31458121291269014,0.5106459908657659,1.5135278355872177,2.6490243699463367e-07,2.6490243699463367e-07,1.0,1.0,0.9852009547921118,1.0,1.0,1.0
safety_margin099_fresh12,1529301148,False,0.9981552789441792,0.4006649791979319,0.5203233465552853,1.225307004221546,1.6397476521395743e-07,1.6397476521395743e-07,1.0,1.0,0.9852009547921118,1.0,1.0,1.0
safety_margin099_fresh12,165677410,False,0.9955933492558211,0.650511793706065,-0.6035358098176866,3.621754234287127,1.0755296935207737e-07,1.0755296935207737e-07,1.0,1.0,0.9852009547921118,1.0,1.0,1.0
safety_margin099_fresh12,737539133,False,0.9884327175899784,1.6558943191924735,0.012547284741336573,1.978453329004377,2.7167258352386854e-07,2.7167258352386854e-07,1.0,1.0,0.9852009547921118,1.0,1.0,1.0
safety_margin099_fresh12,1564720847,False,1.0002151354017355,0.802262082429135,-0.8225378473122691,5.527061879457998,6.521542672643277e-08,6.521542672643277e-08,1.0,1.0,0.9852009547921118,1.0,1.0,1.0
safety_margin099_fresh12,1497526678,False,1.0010789587259585,1.008975899404267,-0.5606757085639095,2.8625393054531973,2.3769629868052192e-07,2.3769629868052192e-07,1.0,1.0,0.9852009547921118,1.0,1.0,1.0
safety_margin099_fresh12,363756186,False,1.0002660469212405,0.9533040647786072,-0.8676873738612856,6.631601397994355,2.2835317930590986e-07,2.2835317930590986e-07,1.0,1.0,0.9852009547921118,1.0,1.0,1.0
pilot_agreement_fresh12,1949022022,False,1.0014509968691299,0.523124329562848,-0.007410241745536759,2.0147968921393353,2.7750664853141965e-07,2.7750664853141965e-07,1.0,1.0,0.9852009547921118,1.0,1.0,1.0
pilot_agreement_fresh12,2101413079,False,0.9984297633234884,0.544039372046177,0.4048634090222651,1.3046663671632788,2.4090384175452864e-07,2.4090384175452864e-07,1.0,1.0,0.9852009547921118,1.0,1.0,1.0
pilot_agreement_fresh12,992148826,True,0.9926502655933329,0.20579401950149023,0.7327320190942458,1.2517012420325617,1.7482860771896658e-07,3.0387781598122293e-07,1.738146976893509,0.5753253397403959,0.5668110740283341,0.5459059587627633,1.6724513744102254,1.6517757108801518
pilot_agreement_fresh12,2000207224,False,0.9954587220458164,0.6291545567531553,0.21288519279893994,1.667794864953023,7.820245591839144e-07,7.820245591839144e-07,1.0,1.0,0.9852009547921118,1.0,1.0,1.0
pilot_agreement_fresh12,214560592,False,0.9975127406489571,0.5897598562959783,-0.9815196374487911,4.541888856521715,1.7755133663762867e-07,1.7755133663762867e-07,1.0,1.0,0.9852009547921118,1.0,1.0,1.0
pilot_agreement_fresh12,1460182500,False,1.0006782386312225,0.31458121291269014,0.5106459908657659,1.5135278355872177,2.6490243699463367e-07,2.6490243699463367e-07,1.0,1.0,0.9852009547921118,1.0,1.0,1.0
pilot_agreement_fresh12,1529301148,True,0.9981552789441792,0.4006649791979319,0.5203233465552853,1.225307004221546,1.6397476521395743e-07,1.469175444941617e-07,0.8959765504311645,1.116100638480747,1.0995834146753176,1.132016234108761,0.8978438232894472,0.9164224258192486
pilot_agreement_fresh12,165677410,False,0.9955933492558211,0.650511793706065,-0.6035358098176866,3.621754234287127,1.0755296935207737e-07,1.0755296935207737e-07,1.0,1.0,0.9852009547921118,1.0,1.0,1.0
pilot_agreement_fresh12,737539133,False,0.9884327175899784,1.6558943191924735,0.012547284741336573,1.978453329004377,2.7167258352386854e-07,2.7167258352386854e-07,1.0,1.0,0.9852009547921118,1.0,1.0,1.0
pilot_agreement_fresh12,1564720847,False,1.0002151354017355,0.802262082429135,-0.8225378473122691,5.527061879457998,6.521542672643277e-08,6.521542672643277e-08,1.0,1.0,0.9852009547921118,1.0,1.0,1.0
pilot_agreement_fresh12,1497526678,False,1.0010789587259585,1.008975899404267,-0.5606757085639095,2.8625393054531973,2.3769629868052192e-07,2.3769629868052192e-07,1.0,1.0,0.9852009547921118,1.0,1.0,1.0
pilot_agreement_fresh12,363756186,False,1.0002660469212405,0.9533040647786072,-0.8676873738612856,6.631601397994355,2.2835317930590986e-07,2.2835317930590986e-07,1.0,1.0,0.9852009547921118,1.0,1.0,1.0
