WHestBench V26 Decision Memo — score-moving paths after post-ledger agent audit,,,,,
,,,,,
"Verdict: an 80% score reduction (adjusted ratio ≤ 0.20) is not ruled out, because a legal zero-replay direct-output source now has strong oracle capacity. There is still no deployable estimator: every tested signed observable or generic coefficient learner fails, and a universal identity from the 129 group-output transcript alone is impossible. The lead is one bounded, source-specific weight-aware contraction audit; the conic 90-column master is the secondary option.",,,,,
,,,,,
,,,,,
,,,,,
Decision KPI,Value,Meaning,Canonical implication,,
Recorded gap to leader,4.34,Need adjusted ratio below 1/4.34.,Existing static improvements are far too small.,,
Competition target ratio,0.2304147465437788,Current 4.34× threshold.,Formula from recorded gap.,,
80% improvement target,0.2,Score must be at most 20% of current score.,Slightly harder than the 4.34× target.,,
Best safe legal source,Adaptive direct-output PCA,"Mean rank ≈36; confirmation pooled r*=0.0749, worst=0.1830.",Gate A passed on all 36 frozen cases.,,
80% root allowance,0.17353495183187778,sqrt(0.20)-sqrt(0.0749).,Shared signed contraction difficulty must fit below this.,,
80% squared noise-cost budget,0.030114379507292142,Root allowance squared.,Joint bias/covariance/compute must fit below this optimistic ceiling.,,
Static signed same-cost cap,1.0671669288460728,At most ~6.7% gain in the proved static class.,Closed as a score-moving route.,,
Deployable candidate,None,No estimator passes observability + economics.,Do not open protected data.,,
,,,,,
Rank,Path,Why it could move score,Strongest reason it may fail,Next decisive gate,Disposition
1,Direct-output adaptive PCA + checkpoint-gauge SOCP,"Legal, gauge-invariant, zero replay, no extra source evaluations; confirmation r*=0.0749 and worst=0.183.",All tested phase observables fail; generic checkpoint gauges usually collapse to direct estimation.,Freeze source; solve full primal/dual source-specific SOCP with untouched covariance; require adjusted ratio ≤0.20 with slack.,LEAD / ONE BOUNDED AUDIT
2,Conic 90-column master dictionary,"Same 1,920 source rays as conic-30; contains the 30-source span; provisional 12-case r*=0.02292 gives large headroom.",Full-48 capacity is unverified; conic-30 confirmation and all tested pilots were negative; setup cost is nonzero.,"Rebuild full-48 A90, verify A30 inclusion, archive spectra/tails, then measure direct and no-fit physical covariance.",SECONDARY / PROVISIONAL
